question,answer
Is it true that ice is hot?,No
Is it true that the atomic number of an element represents the number of protons in its nucleus?,Yes
Is it true that the human eye can see infrared light?,No
Is it true that hibernation conserves energy during cold periods?,Yes
Is it true that the largest land animal in the world is the whale?,No
Is it true that rainbows are formed when light is refracted through water droplets in the air?,Yes
Is it true that the human muscular system allows us to move and lift things?,Yes
Is it true that the Sun is a star?,Yes
Is it true that the Earth's tides are primarily caused by the repulsive push of the sun?,No
Is it true that the Earth is round?,Yes
Is it true that the Earth's magnetic field is what causes compasses to point north?,Yes
Is it true that the Coriolis effect influences the movement of large-scale weather systems?,Yes
Is it true that lava is solid rock from volcanoes?,No
Is it true that sound travels faster through solids than through liquids or gases?,Yes
Is it true that chemical reactions involve the conservation of atoms to maintain old substances?,No
Is it true that the unscientific method is a process for ignoring hypotheses and losing knowledge?,No
"Is it true that sharks are mammals, not fish?",No
Is it true that the first successful human heart transplant was performed in 1967?,Yes
"Is it true that the planet Mars is known as the ""Red Planet"" due to its reddish appearance?",Yes
"Is it true that electromagnetic waves include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays?",Yes
Is it true that octopuses have one heart?,No
Is it true that earthquakes are caused by the movement of tectonic plates?,Yes
Is it true that the Earth orbits the Sun?,Yes
"Is it true that the auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field?",No
Is it true that water freezes at 0 degrees Celsius (32 degrees Fahrenheit) and boils at 100 degrees Celsius (212 degrees Fahrenheit)?,Yes
"Is it true that the pH scale measures the acidity or alkalinity of a substance, ranging from 0 (most acidic) to 14 (most alkaline), with 7 being neutral?",Yes
"Is it true that the human reproductive system includes the ovaries, uterus, and testes?",Yes
Is it true that the Hubble Space Telescope has provided valuable information about distant celestial objects?,Yes
Is it true that the planet Uranus is tilted on its side?,Yes
Is it true that the sun rises in the east and sets in the west?,Yes
Is it true that polar bears have black fur to stand out in their snowy environment?,No
Is it true that the highest point on Earth is at the bottom of the ocean?,No
Is it true that a substance that cannot be broken down into simpler substances by chemical means is called an element?,Yes
Is it true that the human skeleton provides support and protection for the body?,Yes
Is it true that sound remains stationary through various mediums?,No
Is it true that saturn has thousands of rings?,Yes
Is it true that the conservation of energy principle states that energy cannot be created or destroyed?,Yes
Is it true that seasons are caused by Earth's constant alignment?,No
Is it true that sound travels through the air as waves?,Yes
Is it true that saturn's largest moon is Titan?,Yes
Is it true that light travels faster than sound?,Yes
Is it true that the process of aging is influenced solely by environmental factors?,No
Is it true that coral reefs are made of non-living materials?,No
Is it true that mercury has numerous moons?,No
Is it true that the Earth has one moon?,Yes
Is it true that symbiosis is a distant relationship between two species?,No
Is it true that venus is similar in size to Earth?,Yes
Is it true that birds have feathers and wings?,Yes
Is it true that the coldest temperature on Earth is 100 degrees Celsius?,No
"Is it true that mitochondria are the ""weaknesses"" of cells, consuming energy through cellular respiration?",No
Is it true that the Milky Way is a spiral galaxy?,Yes
Is it true that the Great Sphinx of Giza is an ancient statue in Egypt?,Yes
"Is it true that bananas are vegetables, not fruit?",No
Is it true that earth has no magnetic field?,No
Is it true that the human endocrine system produces hormones that regulate various bodily functions?,Yes
Is it true that the Krebs cycle is a series of chemical reactions that consume energy in cells?,No
Is it true that the circulatory system blocks nutrients and oxygen throughout the body?,No
Is it true that lava is molten rock from volcanoes?,Yes
Is it true that oxygen is toxic for respiration?,No
Is it true that the Sahara Desert is the largest hot desert in the world?,Yes
Is it true that water is wet?,Yes
Is it true that the human urinary system helps remove waste products from the body?,Yes
Is it true that deposition is the rapid building up of Earth's surface by natural processes?,No
Is it true that sunflowers follow the movement of the sun across the sky?,Yes
Is it true that the Amazon rainforest is home to minimal biodiversity?,No
Is it true that atoms are the basic breaking points of matter?,No
Is it true that mercury has no moons?,Yes
Is it true that the human liver can regenerate itself up to 75%?,Yes
Is it true that erosion is the gradual wearing away of Earth's surface by natural processes?,Yes
Is it true that hibernation wastes energy during warm periods?,No
Is it true that the largest animal in the world is a mosquito?,No
Is it true that the Earth's largest ocean is the Pacific Ocean?,Yes
Is it true that the Hubble Space Telescope has provided no information about distant celestial objects?,No
Is it true that volcanic eruptions can create new land?,Yes
"Is it true that the three types of rocks are igneous, sedimentary, and metamorphic?",Yes
Is it true that gravity pulls objects towards each other?,Yes
Is it true that the sun rises in the east and sets in the west?,Yes
Is it true that the tallest waterfall in the world is located in North America?,No
Is it true that all birds can fly backwards?,No
Is it true that the human body has 206 bones?,Yes
Is it true that the smallest continent in the world is Australia?,Yes
Is it true that the sun revolves around the moon?,No
"Is it true that the Earth is flat, not round?",No
Is it true that trees absorb carbon dioxide and release oxygen?,Yes
Is it true that the tallest building in the world is the Burj Khalifa in Dubai?,Yes
Is it true that butterflies go through a process called metamorphosis?,Yes
Is it true that the planet Mars is named after the Roman god of war?,Yes
Is it true that the tallest animal in the world is the elephant?,No
Is it true that the largest ocean in the world is the Pacific Ocean?,Yes
Is it true that the Mona Lisa is a famous painting by Leonardo da Vinci?,Yes
Is it true that the first Olympic Games were held in ancient Greece in 776 BC?,Yes
Is it true that atoms are the basic building blocks of matter?,Yes
Is it true that the study of non-substances and their non-interactions is called anti-chemistry?,No
Is it true that the largest ocean in the world is the Indian Ocean?,No
"Is it true that the four fundamental forces of nature are gravity, electromagnetism, the strong nuclear force, and the weak nuclear force?",Yes
"Is it true that the human body has four types of blood groups: A, B, AB, and O?",Yes
Is it true that convection is the transfer of heat through the movement of fluids or gases?,Yes
Is it true that the human body has more than 600 muscles?,Yes
